                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.9873,                 1.5769,                 1.0838,                0.84674,                      1,                  0.995,                0.46252,                 1.8889,                 1.5041,                 1.3238,               0.000482,               0.000482,               0.000482
                    117,                 1.8093,                  1.588,                 1.0178,                0.84674,                      1,                  0.995,                0.46252,                 1.8889,                 1.5041,                 1.3238,              0.0004688,              0.0004688,              0.0004688
                    118,                 1.8037,                 1.4549,                0.95813,                0.83213,                      1,                  0.995,                0.48635,                 1.8034,                 1.5385,                 1.3081,              0.0004556,              0.0004556,              0.0004556
                    119,                 1.6194,                 1.2764,                0.98004,                0.83213,                      1,                  0.995,                0.48635,                 1.8034,                 1.5385,                 1.3081,              0.0004424,              0.0004424,              0.0004424
                    120,                 1.7446,                 1.4273,                 1.0124,                0.84319,                      1,                  0.995,                0.53244,                 1.7344,                 1.5387,                 1.2853,              0.0004292,              0.0004292,              0.0004292
                    121,                 2.0301,                 1.5305,                  1.083,                0.84319,                      1,                  0.995,                0.53244,                 1.7344,                 1.5387,                 1.2853,               0.000416,               0.000416,               0.000416
                    122,                 1.8343,                 1.4701,                 1.0084,                0.82695,                      1,                0.97214,                0.50634,                 1.8089,                 1.4631,                 1.2853,              0.0004028,              0.0004028,              0.0004028
                    123,                 1.8623,                 1.4213,                 1.0499,                0.82695,                      1,                0.97214,                0.50634,                 1.8089,                 1.4631,                 1.2853,              0.0003896,              0.0003896,              0.0003896
                    124,                 1.9294,                 1.5643,                0.95996,                0.81872,                      1,                0.97214,                0.50054,                 1.8259,                 1.5836,                 1.2828,              0.0003764,              0.0003764,              0.0003764
                    125,                 1.8452,                 1.5381,                0.99613,                0.81872,                      1,                0.97214,                0.50054,                 1.8259,                 1.5836,                 1.2828,              0.0003632,              0.0003632,              0.0003632
