                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.9739,                 2.6197,                  1.066,                0.96553,                      1,                  0.995,                0.55779,                  1.808,                 2.7015,                  1.396,               0.000878,               0.000878,               0.000878
                     87,                  2.101,                  2.162,                 1.1998,                0.96553,                      1,                  0.995,                0.55779,                  1.808,                 2.7015,                  1.396,              0.0008648,              0.0008648,              0.0008648
                     88,                  2.007,                 2.1099,                 1.0123,                0.84635,                      1,                  0.995,                0.56627,                 1.8605,                 2.5808,                 1.4266,              0.0008516,              0.0008516,              0.0008516
                     89,                 2.0735,                 2.4564,                 1.0554,                0.84635,                      1,                  0.995,                0.56627,                 1.8605,                 2.5808,                 1.4266,              0.0008384,              0.0008384,              0.0008384
                     90,                 1.9638,                 2.1334,                 1.1027,                0.83275,                      1,                0.94786,                0.56081,                 1.8674,                 2.3931,                 1.4006,              0.0008252,              0.0008252,              0.0008252
                     91,                 1.8812,                 2.2307,                 1.0005,                0.83275,                      1,                0.94786,                0.56081,                 1.8674,                 2.3931,                 1.4006,               0.000812,               0.000812,               0.000812
                     92,                 1.8699,                  2.017,                 1.0306,                0.81838,                      1,                  0.995,                0.50044,                 1.9063,                 2.4243,                 1.4453,              0.0007988,              0.0007988,              0.0007988
                     93,                 1.9759,                 2.0976,                 1.0666,                0.81838,                      1,                  0.995,                0.50044,                 1.9063,                 2.4243,                 1.4453,              0.0007856,              0.0007856,              0.0007856
                     94,                 2.1089,                 2.1696,                 1.1522,                0.89611,                      1,                  0.995,                 0.5041,                 2.0686,                 2.2469,                 1.4707,              0.0007724,              0.0007724,              0.0007724
                     95,                 2.0948,                 2.2924,                 1.0967,                0.89611,                      1,                  0.995,                 0.5041,                 2.0686,                 2.2469,                 1.4707,              0.0007592,              0.0007592,              0.0007592
                     96,                 1.8235,                 2.0561,                 1.0309,                0.84279,                      1,                  0.995,                0.53035,                 1.8518,                  2.031,                 1.4034,               0.000746,               0.000746,               0.000746
                     97,                 1.8347,                 2.1213,                 1.0565,                0.84279,                      1,                  0.995,                0.53035,                 1.8518,                  2.031,                 1.4034,              0.0007328,              0.0007328,              0.0007328
                     98,                 1.6952,                 2.0256,                 1.0459,                0.82186,                      1,                0.97214,                0.58479,                 1.8116,                 1.9909,                 1.3996,              0.0007196,              0.0007196,              0.0007196
                     99,                 2.1186,                 2.0713,                  1.085,                0.82186,                      1,                0.97214,                0.58479,                 1.8116,                 1.9909,                 1.3996,              0.0007064,              0.0007064,              0.0007064
                    100,                 2.1537,                 2.2469,                 1.1983,                0.79756,                      1,                0.90071,                0.48751,                  1.922,                 1.9633,                 1.4838,              0.0006932,              0.0006932,              0.0006932
                    101,                 2.0602,                 2.0004,                 1.0675,                0.79756,                      1,                0.90071,                0.48751,                  1.922,                 1.9633,                 1.4838,                0.00068,                0.00068,                0.00068
